,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ESG_SCORE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Start Date,42369,,,,,,,,,,,,,,,,,,,,,,
,End Date,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
,,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score,BESG Social Pillar Score
,Dates,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE,SOCIAL_SCORE
,42369,#N/A N/A,#N/A N/A,"3,61","0,71","2,84",#N/A N/A,#N/A N/A,"1,03",#N/A N/A,#N/A N/A,"3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17",#N/A N/A,#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42398,"3,49",#N/A N/A,"3,61","0,71","2,84",#N/A N/A,#N/A N/A,"1,03",#N/A N/A,#N/A N/A,"3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17",#N/A N/A,#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42429,"3,49",#N/A N/A,"3,61","0,71","2,84",#N/A N/A,#N/A N/A,"1,03",#N/A N/A,#N/A N/A,"3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17",#N/A N/A,#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
,42460,"3,49",#N/A N/A,"3,61","0,71","2,84",#N/A N/A,"1,62","1,03",#N/A N/A,#N/A N/A,"3,01",#N/A N/A,#N/A N/A,#N/A N/A,"3,17","1,7",#N/A N/A,#N/A N/A,"1,62",#N/A N/A,"1,54","0,77","1,26"
