Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,Cluster
2016-02-29,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.09890114162370556,0
2016-03-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,-0.061666797370899085,0
2016-04-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0,0
2016-05-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.01953826850059337,0
2016-06-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.12891991055811336,0
2016-07-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.06172847341794441,0
2016-08-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0595931218215755,0
2016-09-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.10288040030697831,0
2016-10-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.019900568114625816,0
2016-11-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.04634142237462813,0
2016-12-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.05583549862268833,0
2017-01-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.20134235723358618,0
2017-02-28,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.1303536504244528,0
2017-03-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.08137013750586752,0
2017-04-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.06930702139105605,0
2017-05-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.05555560045471708,0
2017-06-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.18245602993625676,0
2017-07-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.0207715786802547,0
2017-08-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.03939410370262619,0
