Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,ESG_Quartile,Cluster_KMeans,Cluster_DBSCAN,Year,Period
2016-02-29,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0989011416237055,Q2,0,0,2016,pre2020
2016-03-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,-0.061666797370899,Q2,0,0,2016,pre2020
2016-04-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0,Q2,0,0,2016,pre2020
2016-05-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0195382685005933,Q2,0,0,2016,pre2020
2016-06-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.1289199105581133,Q2,0,0,2016,pre2020
2016-07-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0617284734179444,Q2,0,0,2016,pre2020
2016-08-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0595931218215755,Q2,0,0,2016,pre2020
2016-09-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.1028804003069783,Q2,0,0,2016,pre2020
2016-10-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0199005681146258,Q2,0,0,2016,pre2020
2016-11-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0463414223746281,Q2,0,0,2016,pre2020
2016-12-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.0558354986226883,Q2,0,0,2016,pre2020
2017-01-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.2013423572335861,Q2,0,0,2017,pre2020
2017-02-28,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.1303536504244528,Q2,0,0,2017,pre2020
2017-03-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.0813701375058675,Q2,0,0,2017,pre2020
2017-04-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.069307021391056,Q2,0,0,2017,pre2020
2017-05-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.055555600454717,Q2,0,0,2017,pre2020
