Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2015-12-31,,,3.43,3.96,2.94,,,0.0,,,5.73,,,,1.65,,,,0.0,,2.43,2.64,0.31
2016-01-29,6.48,,3.43,3.96,2.94,,,0.0,,,5.73,,,,1.65,,,,0.0,,2.43,2.64,0.31
2016-02-29,6.48,,3.43,3.96,2.94,,,0.0,,,5.73,,,,1.65,,,,0.0,,2.43,2.64,0.31
2016-03-31,6.48,,3.43,3.96,2.94,,5.39,0.0,,,5.73,,,,1.65,1.84,,,0.0,,2.43,2.64,0.31
2016-04-29,6.48,,3.43,3.96,2.94,,5.39,0.0,,,5.73,,,,1.65,1.84,,,0.0,,2.43,2.64,0.31
2016-05-31,6.48,,3.43,3.96,2.94,,5.39,0.0,,,5.73,,,,1.65,1.84,,,0.0,,2.43,2.64,0.31
2016-06-30,6.48,,3.43,3.96,2.94,4.31,5.39,0.0,6.55,,5.73,,,,1.65,1.84,,,0.0,,2.43,2.64,0.31
2016-07-29,6.48,,3.43,3.96,2.94,4.31,5.39,0.0,6.55,0.0,5.73,,,,1.65,1.84,,,0.0,,2.43,2.64,0.31
2016-08-31,6.48,,3.43,3.96,2.94,4.31,5.39,0.0,6.55,0.0,5.73,,,,1.65,1.84,,,0.0,,2.43,2.64,0.31
2016-09-30,6.48,,3.43,3.96,2.94,4.31,5.39,0.0,6.55,0.0,5.73,,,2.38,1.65,1.84,,,0.0,,2.43,2.64,0.31
2016-10-31,6.48,0.0,3.43,3.96,2.94,4.31,5.39,0.0,6.55,0.0,5.73,,,2.38,1.65,1.84,,,0.0,,2.43,2.64,0.31
2016-11-30,6.48,0.0,3.43,3.96,2.94,4.31,5.39,0.0,6.55,0.0,5.73,,,2.38,1.65,1.84,,,0.0,,2.43,2.64,0.31
