Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,
2016-04-29,,,,,,,,,,,,,,,,,,,,,,,
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,
2016-12-30,,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,,,0.0,,,1.0499999999999998,,,,0.0,,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-01-31,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,,,0.0,,,1.0499999999999998,,,,0.0,,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-02-28,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,,,0.0,,,1.0499999999999998,,,,0.0,,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-03-31,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,,0.6800000000000006,0.0,,,1.0499999999999998,,,,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-04-28,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,,0.6800000000000006,0.0,,,1.0499999999999998,,,,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-05-31,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,,0.6800000000000006,0.0,,,1.0499999999999998,,,,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-06-30,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,,1.0499999999999998,,,,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-07-31,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,0.0,1.0499999999999998,,,,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-08-31,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,0.0,1.0499999999999998,,,,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-09-29,0.03999999999999915,,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,0.0,1.0499999999999998,,,1.0900000000000003,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-10-31,0.03999999999999915,0.0,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,0.0,1.0499999999999998,,,1.0900000000000003,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-11-30,0.03999999999999915,0.0,0.19999999999999973,-0.8599999999999999,-0.16999999999999993,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,0.0,1.0499999999999998,,,1.0900000000000003,0.0,0.0,,,0.0,,0.2999999999999998,1.0299999999999998,0.0
2017-12-29,0.03999999999999915,0.0,0.3700000000000001,0.2599999999999998,0.94,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,0.0,0.09999999999999964,,,1.0900000000000003,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-01-31,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,0.0,0.09999999999999964,,,1.0900000000000003,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-02-28,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.9900000000000002,0.6800000000000006,0.0,-0.34999999999999964,0.0,0.09999999999999964,,,1.0900000000000003,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-03-30,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.9900000000000002,0.1200000000000001,0.0,-0.34999999999999964,0.0,0.09999999999999964,,,1.0900000000000003,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-04-30,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.9900000000000002,0.1200000000000001,0.0,-0.34999999999999964,0.0,0.09999999999999964,,,1.0900000000000003,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-05-31,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.9900000000000002,0.1200000000000001,0.0,-0.34999999999999964,0.0,0.09999999999999964,,,1.0900000000000003,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-06-29,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.29000000000000004,0.1200000000000001,0.0,-0.20000000000000018,0.0,0.09999999999999964,,,1.0900000000000003,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-07-31,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.29000000000000004,0.1200000000000001,0.0,-0.20000000000000018,0.0,0.09999999999999964,,,1.0900000000000003,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-08-31,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.29000000000000004,0.1200000000000001,0.0,-0.20000000000000018,0.0,0.09999999999999964,,,0.52,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-09-28,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.29000000000000004,0.1200000000000001,0.0,-0.20000000000000018,0.0,0.09999999999999964,,,0.52,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-10-31,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.29000000000000004,0.1200000000000001,0.0,-0.20000000000000018,0.0,0.09999999999999964,,,0.52,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-11-30,0.39000000000000057,0.0,0.3700000000000001,0.2599999999999998,0.94,0.29000000000000004,0.1200000000000001,0.0,-0.20000000000000018,0.0,0.09999999999999964,,,0.52,0.0,0.0,,,1.42,,0.18999999999999995,2.1799999999999997,0.03999999999999998
2018-12-31,0.39000000000000057,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,0.29000000000000004,0.1200000000000001,1.88,-0.20000000000000018,0.0,-0.03000000000000025,,,0.52,0.0,0.0,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
2019-01-31,-0.03000000000000025,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,0.29000000000000004,0.1200000000000001,1.88,-0.20000000000000018,0.0,-0.03000000000000025,,,0.52,0.0,0.0,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
2019-02-28,-0.03000000000000025,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,0.29000000000000004,0.1200000000000001,1.88,-0.20000000000000018,0.0,-0.03000000000000025,,,0.52,0.0,0.0,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
2019-03-29,-0.03000000000000025,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,0.29000000000000004,0.14999999999999947,1.88,-0.20000000000000018,0.0,-0.03000000000000025,,,0.52,0.0,0.2899999999999998,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
2019-04-30,-0.03000000000000025,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,0.29000000000000004,0.14999999999999947,1.88,-0.20000000000000018,0.0,-0.03000000000000025,,,0.52,0.0,0.2899999999999998,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
2019-05-31,-0.03000000000000025,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,0.29000000000000004,0.14999999999999947,1.88,-0.20000000000000018,0.0,-0.03000000000000025,,,0.52,0.0,0.2899999999999998,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
2019-06-28,-0.03000000000000025,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,-0.1899999999999995,0.14999999999999947,1.88,-0.20999999999999996,0.0,-0.03000000000000025,,,0.52,0.0,0.2899999999999998,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
2019-07-31,-0.03000000000000025,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,-0.1899999999999995,0.14999999999999947,1.88,-0.20999999999999996,0.0,-0.03000000000000025,,,0.52,0.0,0.2899999999999998,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
2019-08-30,-0.03000000000000025,0.0,0.019999999999999574,-0.06999999999999984,0.2999999999999998,-0.1899999999999995,0.14999999999999947,1.88,-0.20999999999999996,0.0,-0.03000000000000025,,,-0.20000000000000018,0.0,0.2899999999999998,,,0.020000000000000018,,-0.1299999999999999,-0.08999999999999986,3.9599999999999995
