Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2015-12-31,,,4.05,2.76,3.47,,,1.67,,,5.1,,,,3.03,,,,1.93,,2.93,2.28,1.89
2016-01-29,5.66,,4.05,2.76,3.47,,,1.67,,,5.1,,,,3.03,,,,1.93,,2.93,2.28,1.89
2016-02-29,5.66,,4.05,2.76,3.47,,,1.67,,,5.1,,,,3.03,,,,1.93,,2.93,2.28,1.89
2016-03-31,5.66,,4.05,2.76,3.47,,3.74,1.67,,,5.1,,,,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-04-29,5.66,,4.05,2.76,3.47,,3.74,1.67,,,5.1,,,,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-05-31,5.66,,4.05,2.76,3.47,,3.74,1.67,,,5.1,,,,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-06-30,5.66,,4.05,2.76,3.47,4.42,3.74,1.67,4.09,,5.1,,,,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-07-29,5.66,,4.05,2.76,3.47,4.42,3.74,1.67,4.09,1.71,5.1,,,,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-08-31,5.66,,4.05,2.76,3.47,4.42,3.74,1.67,4.09,1.71,5.1,,,,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-09-30,5.66,,4.05,2.76,3.47,4.42,3.74,1.67,4.09,1.71,5.1,,,3.72,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-10-31,5.66,1.89,4.05,2.76,3.47,4.42,3.74,1.67,4.09,1.71,5.1,,,3.72,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-11-30,5.66,1.89,4.05,2.76,3.47,4.42,3.74,1.67,4.09,1.71,5.1,,,3.72,3.03,2.4,,,1.93,,2.93,2.28,1.89
2016-12-30,5.66,1.89,3.93,2.48,3.12,4.42,3.74,1.88,4.09,1.71,5.78,,,3.72,3.06,2.4,,,1.88,,3.11,2.68,2.42
2017-01-31,5.77,1.89,3.93,2.48,3.12,4.42,3.74,1.88,4.09,1.71,5.78,,,3.72,3.06,2.4,,,1.88,,3.11,2.68,2.42
