Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2015-12-31,,,3.61,0.71,2.84,,,1.03,,,3.01,,,,3.17,,,,1.62,,1.54,0.77,1.26
2016-01-29,3.49,,3.61,0.71,2.84,,,1.03,,,3.01,,,,3.17,,,,1.62,,1.54,0.77,1.26
2016-02-29,3.49,,3.61,0.71,2.84,,,1.03,,,3.01,,,,3.17,,,,1.62,,1.54,0.77,1.26
2016-03-31,3.49,,3.61,0.71,2.84,,1.62,1.03,,,3.01,,,,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-04-29,3.49,,3.61,0.71,2.84,,1.62,1.03,,,3.01,,,,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-05-31,3.49,,3.61,0.71,2.84,,1.62,1.03,,,3.01,,,,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-06-30,3.49,,3.61,0.71,2.84,1.82,1.62,1.03,0.63,,3.01,,,,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-07-29,3.49,,3.61,0.71,2.84,1.82,1.62,1.03,0.63,0.99,3.01,,,,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-08-31,3.49,,3.61,0.71,2.84,1.82,1.62,1.03,0.63,0.99,3.01,,,,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-09-30,3.49,,3.61,0.71,2.84,1.82,1.62,1.03,0.63,0.99,3.01,,,2.53,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-10-31,3.49,1.43,3.61,0.71,2.84,1.82,1.62,1.03,0.63,0.99,3.01,,,2.53,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-11-30,3.49,1.43,3.61,0.71,2.84,1.82,1.62,1.03,0.63,0.99,3.01,,,2.53,3.17,1.7,,,1.62,,1.54,0.77,1.26
2016-12-30,3.49,1.43,3.64,0.74,2.12,1.82,1.62,1.03,0.63,0.99,3.8,,,2.53,3.11,1.7,,,1.62,,1.67,0.82,2.47
2017-01-31,3.81,1.43,3.64,0.74,2.12,1.82,1.62,1.03,0.63,0.99,3.8,,,2.53,3.11,1.7,,,1.62,,1.67,0.82,2.47
2017-02-28,3.81,1.43,3.64,0.74,2.12,1.82,1.62,1.03,0.63,0.99,3.8,,,2.53,3.11,1.7,,,1.62,,1.67,0.82,2.47
2017-03-31,3.81,1.43,3.64,0.74,2.12,1.82,2.58,1.03,0.63,0.99,3.8,,,2.53,3.11,1.91,,,1.62,,1.67,0.82,2.47
2017-04-28,3.81,1.43,3.64,0.74,2.12,1.82,2.58,1.03,0.63,0.99,3.8,,,2.53,3.11,1.91,,,1.62,,1.67,0.82,2.47
