Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Cluster_KM,Cluster_CAH
NVDA US Equity,6.77,5.965785123966943,6.499586776859504,NVIDIA,2,5
AVGO US Equity,2.3416964285714283,1.9672321428571427,3.3249999999999997,Broadcom,1,1
TSM US Equity,4.0801639344262295,4.456885245901639,4.60360655737705,TSMC,4,6
GOOGL US Equity,4.448688524590165,1.8508196721311472,3.5891803278688523,Alphabet,5,7
000660 KS Equity,3.9142622950819668,2.8995081967213117,4.098360655737705,SK Hynix,7,8
LRCX US Equity,5.109655172413793,3.390689655172414,5.224827586206896,Lam Research,9,9
6857 JP Equity,6.572100840336136,4.569747899159664,5.8347058823529405,Advantest,2,5
TSEM IT Equity,1.5518032786885245,1.8947540983606552,2.848032786885246,Tower Semi,6,4
MSFT US Equity,5.954137931034484,2.16,4.748620689655172,Microsoft,9,9
LITE US Equity,0.591304347826087,2.5235652173913046,2.898173913043478,Lumentum,6,4
AMD US Equity,6.848360655737705,4.728196721311476,6.299180327868852,AMD,2,5
FN US Equity,3.5292857142857135,0.7750000000000001,2.5792857142857146,Fabrinet,8,2
SNOW US Equity,0.0,1.4599999999999995,1.8759016393442627,Snowflake,3,3
MU US Equity,3.8524778761061946,4.786991150442478,5.153805309734513,Micron,4,6
TSLA US Equity,3.1111475409836062,4.315245901639343,4.078524590163934,Tesla,4,6
9984 JP Equity,3.4224369747899166,1.9204201680672264,3.080000000000001,SoftBank,1,1
CRDO US Equity,0.7391304347826086,1.1482608695652172,1.9360869565217396,CREDO Tech,3,3
ENR GR Equity,4.154153846153846,2.5372307692307694,4.042923076923076,Siemens Energy,7,8
MPWR US Equity,2.5490163934426233,2.1054098360655744,3.223114754098361,Monolithic Power,1,1
2383 TT Equity,4.1244,3.2344000000000004,4.065200000000001,Elite Material,7,8
CLS CN Equity,3.972786885245901,4.174098360655738,4.68688524590164,Celestica,4,6
META US Equity,6.09622950819672,1.4516393442622952,3.5995081967213123,Meta,5,7
AMZN US Equity,2.9013114754098366,2.5355737704918044,3.5652459016393445,Amazon,1,1
