Yahoo_Ticker,Year,Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Return
000660.KS,2016,2016-12-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,
000660.KS,2017,2017-12-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,0.7348533502303654
000660.KS,2018,2018-12-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,-0.18890671757747746
000660.KS,2019,2019-12-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,0.5719537240443286
000660.KS,2020,2020-12-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,0.2721856456052445
000660.KS,2021,2021-12-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,0.11900099159744326
000660.KS,2022,2022-12-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,-0.41983802082894084
000660.KS,2023,2023-12-31,000660 KS Equity,4.57,4.19,5.05,SK Hynix,0.9071249139295314
000660.KS,2024,2024-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,0.2346209331651954
000660.KS,2025,2025-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,2.7826975361804887
000660.KS,2026,2026-12-31,000660 KS Equity,4.41,3.29,4.66,SK Hynix,0.32258064516129026
6857.T,2016,2016-12-31,6857 JP Equity,5.39,1.62,3.74,Advantest,
6857.T,2017,2017-12-31,6857 JP Equity,5.39,1.62,3.74,Advantest,0.0735766712616388
6857.T,2018,2018-12-31,6857 JP Equity,6.07,2.58,4.75,Advantest,0.10681850976565155
6857.T,2019,2019-12-31,6857 JP Equity,6.19,2.59,4.84,Advantest,1.8154212153832852
6857.T,2020,2020-12-31,6857 JP Equity,6.34,2.57,5.04,Advantest,0.2761878164154352
6857.T,2021,2021-12-31,6857 JP Equity,6.78,5.12,6.25,Advantest,0.4287062664102421
6857.T,2022,2022-12-31,6857 JP Equity,6.85,6.64,6.78,Advantest,-0.20895253129085456
6857.T,2023,2023-12-31,6857 JP Equity,7.14,6.56,6.9,Advantest,1.2851768330789777
6857.T,2024,2024-12-31,6857 JP Equity,7.28,6.52,7.07,Advantest,0.927842160716515
6857.T,2025,2025-12-31,6857 JP Equity,7.28,6.52,7.07,Advantest,1.144946559399994
6857.T,2026,2026-12-31,6857 JP Equity,7.28,6.52,7.07,Advantest,0.36796536796536805
9984.T,2016,2016-12-31,9984 JP Equity,1.84,1.7,2.4,SoftBank,
9984.T,2017,2017-12-31,9984 JP Equity,1.84,1.91,2.53,SoftBank,0.15475099787334212
9984.T,2018,2018-12-31,9984 JP Equity,1.84,1.91,2.52,SoftBank,-0.17720838022396612
9984.T,2019,2019-12-31,9984 JP Equity,2.13,1.91,2.67,SoftBank,0.31132246229609795
9984.T,2020,2020-12-31,9984 JP Equity,2.75,1.91,2.94,SoftBank,0.7098572851617337
9984.T,2021,2021-12-31,9984 JP Equity,2.75,1.91,2.94,SoftBank,-0.32180128316754675
9984.T,2022,2022-12-31,9984 JP Equity,3.81,1.99,3.42,SoftBank,0.0474805948016217
9984.T,2023,2023-12-31,9984 JP Equity,3.85,1.99,3.43,SoftBank,0.12358662431659218
9984.T,2024,2024-12-31,9984 JP Equity,6.61,1.99,3.92,SoftBank,0.46674445512605
9984.T,2025,2025-12-31,9984 JP Equity,6.61,1.99,3.92,SoftBank,0.9236828689926537
9984.T,2026,2026-12-31,9984 JP Equity,6.61,1.99,3.92,SoftBank,-0.030681818181818143
AMD,2016,2016-12-31,AMD US Equity,5.73,3.01,5.1,AMD,2.9512197229160635
AMD,2017,2017-12-31,AMD US Equity,6.78,3.8,5.78,AMD,-0.09347446255323
AMD,2018,2018-12-31,AMD US Equity,6.85,4.64,6.23,AMD,0.795719801943733
AMD,2019,2019-12-31,AMD US Equity,6.85,4.64,6.23,AMD,1.4842905138021374
AMD,2020,2020-12-31,AMD US Equity,6.89,6.01,6.69,AMD,0.9997818984714926
AMD,2021,2021-12-31,AMD US Equity,7.09,4.65,6.52,AMD,0.5690763857051218
AMD,2022,2022-12-31,AMD US Equity,7.09,4.65,6.52,AMD,-0.5498957651821776
AMD,2023,2023-12-31,AMD US Equity,7.15,4.76,6.5,AMD,1.2758995106091229
AMD,2024,2024-12-31,AMD US Equity,7.17,5.58,6.85,AMD,-0.18058477773055304
AMD,2025,2025-12-31,AMD US Equity,7.17,5.58,6.85,AMD,0.7729944700627904
AMD,2026,2026-12-31,AMD US Equity,7.17,5.58,6.85,AMD,0.17753076374455912
