Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return,ESG_Quartile,Cluster_KMeans,Cluster_DBSCAN,Year,Period
2016-02-29,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0989010526182787,Q2,1,0,2016,pre2020
2016-03-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,-0.0616665025493221,Q2,1,0,2016,pre2020
2016-04-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0,Q2,1,0,2016,pre2020
2016-05-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0195380267139722,Q2,1,0,2016,pre2020
2016-06-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.1289197465376828,Q2,1,0,2016,pre2020
2016-07-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0617285458763909,Q2,1,0,2016,pre2020
2016-08-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0595927361538373,Q2,1,0,2016,pre2020
2016-09-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.1028810443820007,Q2,1,0,2016,pre2020
2016-10-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0199005637361808,Q2,1,0,2016,pre2020
2016-11-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0463414123777146,Q2,1,0,2016,pre2020
2016-12-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.0558352809422413,Q1,1,0,2016,pre2020
2017-01-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.2013423572335861,Q1,1,0,2017,pre2020
2017-02-28,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.1303538942344224,Q1,1,0,2017,pre2020
2017-03-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.0813707210291958,Q1,1,0,2017,pre2020
2017-04-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.0693066577435386,Q1,1,0,2017,pre2020
2017-05-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.0555555241261398,Q1,1,0,2017,pre2020
2017-06-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.1824562110054992,Q1,1,0,2017,pre2020
2017-07-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.0207713196773626,Q1,1,0,2017,pre2020
2017-08-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.0393936304135393,Q1,1,0,2017,pre2020
2017-09-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.2084550187845055,Q1,1,0,2017,pre2020
2017-10-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.0084440132305229,Q1,1,0,2017,pre2020
2017-11-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.0656937228591427,Q1,1,0,2017,pre2020
2017-12-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.0097390992449819,Q2,1,0,2017,pre2020
2018-01-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.0392154655786963,Q2,1,0,2018,pre2020
2018-02-28,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.0448975556176185,Q2,1,0,2018,pre2020
2018-03-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.0585939899966321,Q2,1,0,2018,pre2020
