Date,Ticker,Env_Score,Soc_Score,ESG_Score,Entreprise,Yahoo_Ticker,Return
2015-12-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,
2016-01-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,
2016-02-29,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.09890114162370556
2016-03-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,-0.06166664996011062
2016-04-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.0
2016-05-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.01953818688189579
2016-06-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.1289197465376828
2016-07-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.061728409384908645
2016-08-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.05959312948262463
2016-09-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.10288077676626473
2016-10-31,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.019900453728144862
2016-11-30,000660 KS Equity,2.94,2.84,3.47,SK Hynix,000660.KS,0.04634130951462856
2016-12-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.05583549862268833
2017-01-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.20134216196742383
2017-02-28,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.13035391542214525
2017-03-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.08137064278586581
2017-04-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.06930693497127627
2017-05-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.055555443307642394
2017-06-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.1824561484103404
2017-07-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.020771387118010298
2017-08-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.03939377047660564
2017-09-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,0.20845496842794353
2017-10-31,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.008444014119578402
2017-11-30,000660 KS Equity,2.77,2.12,3.12,SK Hynix,000660.KS,-0.06569319891033054
2017-12-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.009738981166552474
2018-01-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.039215902556334004
2018-02-28,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.04489814662195801
2018-03-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.05859351525887391
2018-04-30,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.03936033172566167
2018-05-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.1053253322409784
2018-06-30,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.08244107489734531
2018-07-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.007001489496911706
2018-08-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.03823915505495468
2018-09-30,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.11927712480721153
2018-10-31,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,-0.06703105003306953
2018-11-30,000660 KS Equity,3.71,2.34,3.68,SK Hynix,000660.KS,0.020527705401570895
2018-12-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.10849663645154595
2019-01-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.22148776248909963
2019-02-28,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.05277410764698731
2019-03-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.059999949626740046
2019-04-30,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.06468992722579792
2019-05-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.17341762318309528
2019-06-30,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.06431886299912981
2019-07-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.10647454447848825
2019-08-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.0065020150394852205
2019-09-30,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,0.06201550723936555
2019-10-31,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.0024331752615436297
2019-11-30,000660 KS Equity,4.01,1.62,3.55,SK Hynix,000660.KS,-0.013414644509668006
2019-12-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.1755648182115832
2020-01-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.006376249479268736
2020-02-29,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.05989299539162318
2020-03-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.05233238629946968
2020-04-30,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.004802195038426493
2020-05-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.02628460237790098
2020-06-30,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.044171753378165146
2020-07-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.027026984815398003
2020-08-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.09299508523487698
2020-09-30,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.11850880020388055
2020-10-31,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,-0.048809555007800154
2020-11-30,000660 KS Equity,3.51,3.2,3.94,SK Hynix,000660.KS,0.2202752969460453
2020-12-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.22782237846734543
2021-01-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.03375532315737395
2021-02-28,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.15510217424472938
2021-03-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.063604394700149
2021-04-30,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.03396222808639571
2021-05-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.007812655583400385
2021-06-30,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.003936989775519928
2021-07-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.11764697156853188
2021-08-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.05333337621389134
2021-09-30,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,-0.032863774730464757
2021-10-31,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.0
2021-11-30,000660 KS Equity,4.08,3.08,4.26,SK Hynix,000660.KS,0.10679609247734434
2021-12-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.16317204628763204
2022-01-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.08015268240656737
2022-02-28,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.020746987271158757
2022-03-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.038246168788544144
2022-04-30,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.04661019829853241
2022-05-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.040000025930264416
2022-06-30,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,-0.1547464352450526
2022-07-31,000660 KS Equity,4.65,2.96,4.5,SK Hynix,000660.KS,0.0758241071525263
