Date,NVDA US Equity,AVGO US Equity,TSM US Equity,GOOGL US Equity,000660 KS Equity,LRCX US Equity,6857 JP Equity,TSEM IT Equity,MSFT US Equity,LITE US Equity,AMD US Equity,FN US Equity,SNOW US Equity,MU US Equity,TSLA US Equity,9984 JP Equity,CRDO US Equity,ENR GR Equity,MPWR US Equity,2383 TT Equity,CLS CN Equity,META US Equity,AMZN US Equity
2015-12-31,,,,,,,,,,,,,,,,,,,,,,,
2016-01-29,,,,,,,,,,,,,,,,,,,,,,,
2016-02-29,,,,,,,,,,,,,,,,,,,,,,,
2016-03-31,,,,,,,,,,,,,,,,,,,,,,,
2016-04-29,,,,,,,,,,,,,,,,,,,,,,,
2016-05-31,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,,,,,,,,,,,,,,,,,,,,,,,
2016-07-29,,,,,,,,,,,,,,,,,,,,,,,
2016-08-31,,,,,,,,,,,,,,,,,,,,,,,
2016-09-30,,,,,,,,,,,,,,,,,,,,,,,
2016-10-31,,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,,,,,,,,,,,,,,,,,,,,,,,
2016-12-30,,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,,,0.0,,,0.79,,,,-0.06000000000000005,,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-01-31,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,,,0.0,,,0.79,,,,-0.06000000000000005,,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-02-28,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,,,0.0,,,0.79,,,,-0.06000000000000005,,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-03-31,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,,0.96,0.0,,,0.79,,,,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-04-28,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,,0.96,0.0,,,0.79,,,,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-05-31,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,,0.96,0.0,,,0.79,,,,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-06-30,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,0.26,0.96,0.0,0.26,,0.79,,,,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-07-31,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,0.26,0.96,0.0,0.26,0.0,0.79,,,,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-08-31,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,0.26,0.96,0.0,0.26,0.0,0.79,,,,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-09-29,0.31999999999999984,,0.03000000000000025,0.030000000000000027,-0.7199999999999998,0.26,0.96,0.0,0.26,0.0,0.79,,,0.0,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-10-31,0.31999999999999984,0.0,0.03000000000000025,0.030000000000000027,-0.7199999999999998,0.26,0.96,0.0,0.26,0.0,0.79,,,0.0,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-11-30,0.31999999999999984,0.0,0.03000000000000025,0.030000000000000027,-0.7199999999999998,0.26,0.96,0.0,0.26,0.0,0.79,,,0.0,-0.06000000000000005,0.20999999999999996,,,0.0,,0.1299999999999999,0.04999999999999993,1.2100000000000002
2017-12-29,0.31999999999999984,0.0,-0.79,0.25,0.21999999999999975,0.26,0.96,0.0,0.26,0.0,0.17000000000000037,,,0.0,1.1999999999999997,0.20999999999999996,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-01-31,1.94,0.0,-0.79,0.25,0.21999999999999975,0.26,0.96,0.0,0.26,0.0,0.17000000000000037,,,0.0,1.1999999999999997,0.20999999999999996,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-02-28,1.94,0.0,-0.79,0.25,0.21999999999999975,0.26,0.96,0.0,0.26,0.0,0.17000000000000037,,,0.0,1.1999999999999997,0.20999999999999996,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-03-30,1.94,0.0,-0.79,0.25,0.21999999999999975,0.26,0.009999999999999787,0.0,0.26,0.0,0.17000000000000037,,,0.0,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-04-30,1.94,0.0,-0.79,0.25,0.21999999999999975,0.26,0.009999999999999787,0.0,0.26,0.0,0.17000000000000037,,,0.0,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-05-31,1.94,0.0,-0.79,0.25,0.21999999999999975,0.26,0.009999999999999787,0.0,0.26,0.0,0.17000000000000037,,,0.0,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-06-29,1.94,0.0,-0.79,0.25,0.21999999999999975,1.19,0.009999999999999787,0.0,0.020000000000000018,0.0,0.17000000000000037,,,0.0,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-07-31,1.94,0.0,-0.79,0.25,0.21999999999999975,1.19,0.009999999999999787,0.0,0.020000000000000018,0.0,0.17000000000000037,,,0.0,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-08-31,1.94,0.0,-0.79,0.25,0.21999999999999975,1.19,0.009999999999999787,0.0,0.020000000000000018,0.0,0.17000000000000037,,,0.81,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-09-28,1.94,0.0,-0.79,0.25,0.21999999999999975,1.19,0.009999999999999787,0.0,0.020000000000000018,0.0,0.17000000000000037,,,0.81,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-10-31,1.94,0.0,-0.79,0.25,0.21999999999999975,1.19,0.009999999999999787,0.0,0.020000000000000018,0.0,0.17000000000000037,,,0.81,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-11-30,1.94,0.0,-0.79,0.25,0.21999999999999975,1.19,0.009999999999999787,0.0,0.020000000000000018,0.0,0.17000000000000037,,,0.81,1.1999999999999997,0.0,,,0.0,,0.050000000000000044,0.5000000000000001,0.0
2018-12-31,1.94,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.19,0.009999999999999787,0.26,0.020000000000000018,0.0,0.6699999999999995,,,0.81,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-01-31,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.19,0.009999999999999787,0.26,0.020000000000000018,0.0,0.6699999999999995,,,0.81,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-02-28,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.19,0.009999999999999787,0.26,0.020000000000000018,0.0,0.6699999999999995,,,0.81,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-03-29,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.19,-0.020000000000000018,0.26,0.020000000000000018,0.0,0.6699999999999995,,,0.81,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-04-30,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.19,-0.020000000000000018,0.26,0.020000000000000018,0.0,0.6699999999999995,,,0.81,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-05-31,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.19,-0.020000000000000018,0.26,0.020000000000000018,0.0,0.6699999999999995,,,0.81,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-06-28,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.6700000000000004,-0.020000000000000018,0.26,0.0,0.5,0.6699999999999995,,,0.81,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-07-31,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.6700000000000004,-0.020000000000000018,0.26,0.0,0.5,0.6699999999999995,,,0.81,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-08-30,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.6700000000000004,-0.020000000000000018,0.26,0.0,0.5,0.6699999999999995,,,1.0499999999999998,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-09-30,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.6700000000000004,-0.020000000000000018,0.26,0.0,0.5,0.6699999999999995,,,1.0499999999999998,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
2019-10-31,0.009999999999999787,0.0,-0.020000000000000018,0.6499999999999999,-0.7199999999999998,1.6700000000000004,-0.020000000000000018,0.26,0.0,0.5,0.6699999999999995,,,1.0499999999999998,-0.4599999999999995,0.0,,,0.5299999999999998,,0.72,0.08999999999999986,-0.33000000000000007
